Date,Open,High,Low,Close,Adj Close,Volume
2000-05-19,142.656250,142.656250,140.250000,140.687500,91.964508,775500
2000-05-22,140.593750,140.593750,136.812500,139.812500,91.392548,1850600
2000-05-23,140.218750,140.218750,137.687500,137.687500,90.003441,373900
2000-05-24,137.750000,140.062500,136.656250,139.750000,91.351692,400300
2000-05-25,140.031250,140.937500,137.875000,138.468750,90.514191,69600
2000-05-26,138.484375,138.750000,137.000000,137.843750,90.105606,237000
2000-05-30,139.281250,142.437500,139.281250,142.375000,93.067604,118100
2000-05-31,141.875000,143.625000,141.875000,142.781250,93.333138,216900
2000-06-01,143.906250,145.062500,143.625000,145.062500,94.824326,128700
2000-06-02,148.312500,148.781250,147.468750,147.937500,96.703651,108400
2000-06-05,147.000000,147.656250,146.687500,146.968750,96.070457,192100
2000-06-06,146.437500,147.187500,145.687500,146.218750,95.580154,209300
2000-06-07,146.218750,147.500000,145.656250,147.187500,96.213409,85400
2000-06-08,147.812500,147.812500,145.937500,146.656250,95.866119,248400
2000-06-09,147.515625,147.515625,145.875000,146.125000,95.518883,20200
2000-06-12,146.625000,146.625000,144.859375,144.859375,94.691551,17600
2000-06-13,145.000000,147.250000,144.500000,146.750000,95.927437,40300
2000-06-14,147.750000,148.375000,147.125000,147.656250,96.519836,353900
2000-06-15,147.687500,148.250000,146.609375,147.656250,96.519836,338500
2000-06-16,148.625000,148.625000,146.468750,147.062500,96.131729,855900
2000-06-19,146.562500,149.031250,146.500000,148.515625,97.081581,160000
2000-06-20,148.625000,148.640625,147.296875,147.703125,96.550468,182600
2000-06-21,146.875000,148.156250,146.875000,147.859375,96.730530,137500
2000-06-22,147.437500,147.437500,145.000000,145.437500,95.146126,182900
2000-06-23,145.500000,145.875000,144.000000,144.390625,94.461288,238200
2000-06-26,145.031250,146.062500,144.812500,146.062500,95.555054,26000
2000-06-27,145.812500,146.296875,145.250000,145.250000,95.023422,40900
2000-06-28,145.312500,146.906250,145.312500,145.921875,95.463036,51200
2000-06-29,144.640625,145.250000,143.562500,144.156250,94.307915,48500
2000-06-30,143.984375,145.484375,143.984375,145.484375,95.176804,16800
2000-07-03,145.500000,147.140625,145.468750,147.140625,96.260330,7100
2000-07-05,146.265625,146.359375,144.625000,145.093750,94.921242,27400
2000-07-06,144.875000,146.125000,144.218750,145.812500,95.391418,40100
2000-07-07,146.375000,148.500000,146.375000,147.968750,96.802101,65500
2000-07-10,147.656250,148.656250,147.656250,147.718750,96.638527,77500
2000-07-11,147.250000,149.000000,147.250000,148.281250,97.006546,40700
2000-07-12,149.250000,149.937500,148.875000,149.093750,97.538063,2642100
2000-07-13,149.718750,150.281250,149.140625,149.593750,97.865166,971600
2000-07-14,150.250000,151.125000,149.812500,150.984375,98.774879,158800
2000-07-17,150.734375,151.906250,150.593750,150.890625,98.713577,430100
2000-07-18,150.468750,150.500000,149.375000,149.812500,98.008247,763600
2000-07-19,149.343750,149.578125,148.406250,148.406250,97.088280,120000
2000-07-20,148.875000,150.421875,148.765625,150.421875,98.406906,96500
2000-07-21,149.406250,149.437500,147.718750,147.718750,96.638527,601300
2000-07-24,148.250000,148.593750,146.593750,146.593750,95.902550,251700
2000-07-25,147.468750,147.515625,146.812500,147.421875,96.444344,116700
2000-07-26,146.875000,146.890625,145.750000,146.000000,95.514091,474800
